Samples: 35, Epochs: 100000, Lr: 0.001, Tol: 1e-05,  RMSE: 12.8920 MAE: 1.6484 MAPE: 0.9950, Time: 1.04 min
Samples: 35, Epochs: 100000, Lr: 0.001, Tol: 1e-05,  RMSE: 12.8920 MAE: 1.6484 MAPE: 0.9950, Time: 1.04 min
Samples: 35, Epochs: 100000, Lr: 0.001, Tol: 1e-05,  RMSE: 12.8920 MAE: 1.6484 MAPE: 0.9950, Time: 1.06 min
Samples: 35, Epochs: 100000, Lr: 0.001, Tol: 1e-05,  RMSE: 12.8897 MAE: 1.6481 MAPE: 0.9948, Time: 1.04 min
Samples: 35, Epochs: 100000, Lr: 0.001, Tol: 1e-05,  RMSE: 6.7442 MAE: 1.0085 MAPE: 0.9351, Time: 0.65 min
Samples: 35, Epochs: 100000, Lr: 0.001, Tol: 1e-05,  RMSE: 6.7442 MAE: 1.0085 MAPE: 0.9351, Time: 0.65 min
Samples: 35, Epochs: 100000, Lr: 0.001, Tol: 0.1,  RMSE: 6.8660 MAE: 1.0325 MAPE: 0.9790, Time: 0.07 min
Samples: 35, init_type:3 Epochs: 100000, Lr: 0.001, Tol: 0.1,  RMSE: 6.8660 MAE: 1.0325 MAPE: 0.9790, Time: 0.07 min
Samples: 35, init_type:3 Epochs: 100000, Lr: 0.001, Tol: 0.1,  RMSE: 6.8660 MAE: 1.0325 MAPE: 0.9790 CPC:0.4555 JSD0.2276, Time: 0.10 min
Samples: 35, init_type:3 Epochs: 100000, Lr: 0.001, Tol: 0.1,  RMSE: 6.8660 MAE: 1.0325 MAPE: 0.9790 CPC: 0.4555 JSD: 0.2276, Time: 0.09 min
Samples: 35, init_type:3 Epochs: 100000, Lr: 0.001, Tol: 0.001,  RMSE: 6.7414 MAE: 1.0092 MAPE: 0.9342 CPC: 0.4599 JSD: 0.2273, Time: 0.36 min
Samples: 35, init_type:3 Epochs: 100000, Lr: 0.001, Tol: 1e-05,  RMSE: 6.7442 MAE: 1.0085 MAPE: 0.9351 CPC: 0.4599 JSD: 0.2273, Time: 0.67 min
Samples: 35, init_type:3 Epochs: 100000, Lr: 0.001, Tol: 0.1,  RMSE: 6.8583 MAE: 1.0315 MAPE: 0.9785 CPC: 0.4555 JSD: 0.2276, Time: 0.11 min
Samples: 35, init_type:3 Epochs: 100000, Lr: 0.001, Tol: 0.001,  RMSE: 6.7411 MAE: 1.0091 MAPE: 0.9342 CPC: 0.4599 JSD: 0.2273, Time: 0.38 min
Samples: 35, init_type:3 Epochs: 100000, Lr: 0.001, Tol: 1e-05,  RMSE: 6.7442 MAE: 1.0085 MAPE: 0.9351 CPC: 0.4599 JSD: 0.2273, Time: 0.72 min
Samples: 35, init_type:3 Epochs: 100000, Lr: 0.001, Tol: 0.1,  RMSE: 6.8500 MAE: 1.0298 MAPE: 0.9774 CPC: 0.4555 JSD: 0.2276, Time: 0.11 min
Samples: 35, init_type:3 Epochs: 100000, Lr: 0.001, Tol: 0.001,  RMSE: 6.7408 MAE: 1.0090 MAPE: 0.9341 CPC: 0.4599 JSD: 0.2273, Time: 0.37 min
Samples: 35, init_type:3 Epochs: 100000, Lr: 0.001, Tol: 1e-05,  RMSE: 6.7442 MAE: 1.0085 MAPE: 0.9351 CPC: 0.4599 JSD: 0.2273, Time: 0.69 min
