Epoch, Train Loss, Validation Loss
1, 164.2967, 220.4694
2, 178.3457, 219.2589
3, 191.9695, 216.2540
4, 183.8004, 210.0540
5, 171.0317, 199.0996
6, 152.5538, 182.5123
7, 131.3150, 162.3821
8, 121.5234, 143.5746
9, 110.1208, 127.2320
10, 117.1832, 113.3045
11, 117.5711, 96.7821
12, 93.3682, 85.2359
13, 91.3786, 80.3130
14, 100.5639, 82.0058
15, 77.9470, 76.7582
16, 84.5811, 72.2844
17, 83.9680, 68.9115
18, 73.1779, 67.6663
19, 80.4287, 68.3728
20, 81.8301, 68.5957
21, 77.3308, 70.4669
22, 71.0440, 68.1336
23, 77.3052, 66.6950
24, 70.1476, 64.3325
25, 68.9523, 64.8559
26, 72.4501, 66.4951
27, 73.6029, 69.3175
28, 71.2981, 67.0316
29, 78.0962, 66.9666
30, 74.3611, 63.6635
31, 67.5248, 62.6143
32, 76.1507, 60.6421
33, 74.4878, 59.1771
34, 81.6510, 64.3851
35, 67.2436, 68.4639
36, 70.7762, 70.5365
37, 73.1172, 67.3968
38, 71.4924, 60.8557
39, 71.1827, 62.8237
40, 68.9999, 66.3568
41, 68.4684, 72.2267
42, 70.7500, 67.1106
43, 72.8534, 61.4853
44, 76.4181, 56.9525
45, 67.9033, 58.1676
46, 76.5976, 64.2925
47, 75.0789, 68.4967
48, 69.5571, 65.3299
49, 68.6433, 60.9496
50, 73.3235, 60.5336
51, 72.9476, 59.2433
52, 68.1534, 59.7402
53, 64.9421, 66.8478
54, 66.4554, 74.8071
55, 70.7830, 74.4750
56, 65.6404, 68.5445
57, 74.5194, 60.9636
58, 65.2921, 56.0147
59, 69.3686, 55.8120
60, 74.0784, 61.5333
61, 74.2085, 69.4029
62, 65.1915, 67.7061
63, 65.1843, 62.4498
64, 69.8125, 59.0489
65, 69.0838, 60.5037
66, 67.5759, 65.9531
67, 79.4036, 66.0964
68, 77.0520, 58.9196
69, 69.1928, 56.0041
70, 70.8802, 60.6481
71, 71.2897, 67.0287
72, 65.5846, 63.9805
73, 67.6835, 60.5697
74, 70.7092, 59.3710
75, 71.8840, 56.3714
76, 68.7308, 55.7448
77, 72.1184, 57.6663
78, 65.1867, 62.0304
79, 65.3433, 66.3713
80, 72.3095, 65.8774
81, 66.8482, 58.3031
82, 69.1865, 54.5406
83, 71.2584, 55.7295
84, 72.1370, 56.7076
85, 68.2317, 57.3896
86, 80.1232, 59.8634
87, 73.8786, 60.0380
88, 66.4941, 58.0101
89, 71.7440, 59.7594
90, 72.0946, 64.4998
91, 67.0791, 64.2275
92, 70.0872, 63.9758
93, 65.7786, 63.1440
94, 72.2290, 63.1386
95, 68.8162, 60.7702
96, 68.2068, 55.9243
97, 66.1374, 56.0858
98, 70.8405, 58.7840
99, 70.4828, 62.1143
100, 69.7917, 60.3874
101, 73.1926, 58.3562
102, 66.6500, 58.4568
Test RMSE: 7.1760, MAE: 1.2964
