Epoch, Train Loss, Validation Loss
1, 95.7790, 44.1130
2, 43.9583, 43.1407
3, 42.8364, 41.9521
4, 42.6803, 42.5887
5, 42.0562, 41.1080
6, 41.3222, 40.5608
7, 40.2120, 39.5076
8, 39.2541, 38.1707
9, 38.2484, 35.7832
10, 35.2366, 34.5286
11, 33.6902, 32.6090
12, 32.9796, 32.5052
13, 32.6907, 31.9271
14, 32.0096, 30.8558
15, 31.7650, 32.0646
16, 31.3861, 30.6012
17, 31.0230, 29.7566
18, 30.6928, 30.0944
19, 30.7019, 29.2350
20, 30.1168, 30.1308
21, 30.2715, 29.4661
22, 29.8420, 29.2459
23, 29.8348, 28.3895
24, 29.1169, 28.3178
25, 29.3372, 28.1082
26, 28.9797, 27.9193
27, 28.7526, 28.4559
28, 28.8331, 27.0415
29, 27.7638, 27.9498
30, 28.7897, 26.7335
31, 27.1383, 27.4952
32, 27.6377, 25.9756
33, 27.1982, 27.3810
34, 26.6531, 27.7943
35, 26.5078, 25.5646
36, 26.0974, 27.2173
37, 25.9062, 25.0906
38, 25.3935, 26.3381
39, 25.8257, 24.9032
40, 25.4583, 24.6264
41, 24.8767, 25.6891
42, 25.1378, 24.2564
43, 25.4701, 24.2515
44, 25.0444, 24.2232
45, 24.4215, 24.0786
46, 24.2256, 24.1364
47, 24.3071, 24.9019
48, 24.2045, 23.4760
49, 24.2308, 25.4748
50, 24.6473, 24.3565
51, 24.0653, 23.3907
52, 23.6366, 23.8752
53, 23.8321, 24.2575
54, 23.6749, 22.9250
55, 23.2792, 23.0331
56, 23.3717, 23.3661
57, 23.6727, 22.6953
58, 23.1428, 24.2664
59, 22.9533, 23.7187
60, 23.6208, 25.6679
61, 23.2592, 22.6720
62, 22.9658, 22.3103
63, 22.4168, 23.3386
64, 23.4551, 22.6186
65, 22.4602, 22.3148
66, 22.4692, 24.5231
67, 22.5912, 22.2177
68, 23.0171, 22.4468
69, 22.7464, 21.7334
70, 22.0461, 21.9944
71, 22.6086, 21.9407
72, 21.9377, 22.2423
73, 21.8140, 21.9533
74, 23.3699, 22.4765
Test RMSE: 5.7546, MAE: 0.8968
