Epoch, Train Loss, Validation Loss
1, 183.1533, 220.8878
2, 159.4152, 220.8850
3, 167.9890, 220.8819
4, 176.0074, 220.8790
5, 187.5965, 220.8759
6, 191.6728, 220.8727
7, 162.9342, 220.8699
8, 172.9043, 220.8670
9, 156.0866, 220.8641
10, 184.6955, 220.8610
11, 165.0571, 220.8580
12, 166.1170, 220.8551
13, 176.7939, 220.8520
14, 152.9000, 220.8491
15, 176.7753, 220.8457
16, 151.4635, 220.8428
17, 166.2476, 220.8396
18, 167.1135, 220.8363
19, 205.1521, 220.8325
20, 177.1039, 220.8290
21, 152.0134, 220.8259
22, 160.5242, 220.8226
23, 164.2674, 220.8193
24, 171.7050, 220.8157
25, 195.3066, 220.8117
26, 215.1503, 220.8072
27, 176.0384, 220.8033
28, 200.5750, 220.7987
29, 153.0908, 220.7951
30, 157.7443, 220.7911
31, 182.0260, 220.7867
32, 148.1731, 220.7827
33, 157.9441, 220.7784
34, 162.1335, 220.7738
35, 170.6620, 220.7688
36, 140.2476, 220.7646
37, 186.5390, 220.7592
38, 149.4162, 220.7544
39, 176.7363, 220.7486
40, 172.2893, 220.7429
41, 163.9375, 220.7371
42, 150.0748, 220.7318
43, 145.7168, 220.7261
44, 164.8500, 220.7197
45, 165.7717, 220.7129
46, 170.9943, 220.7058
47, 192.4336, 220.6977
48, 182.1584, 220.6894
49, 196.2172, 220.6804
50, 176.7188, 220.6718
51, 162.1591, 220.6630
52, 178.8241, 220.6533
53, 178.5958, 220.6425
54, 184.1776, 220.6311
55, 168.9917, 220.6203
56, 156.7318, 220.6092
57, 173.7389, 220.5968
58, 174.1169, 220.5831
59, 187.1243, 220.5682
60, 184.9171, 220.5518
61, 195.3095, 220.5344
62, 196.7142, 220.5143
63, 174.3098, 220.4951
64, 157.6486, 220.4753
65, 181.9692, 220.4518
66, 177.5283, 220.4264
67, 147.1663, 220.4032
68, 158.8439, 220.3759
69, 215.2437, 220.3411
70, 210.2982, 220.3028
71, 174.2934, 220.2638
72, 191.1829, 220.2191
73, 216.1633, 220.1637
74, 170.4413, 220.1108
75, 163.6377, 220.0534
76, 169.6723, 219.9863
77, 158.7585, 219.9156
78, 211.8950, 219.8180
79, 185.2311, 219.7177
80, 174.0362, 219.6099
81, 137.9417, 219.5072
82, 155.5060, 219.3771
83, 158.8887, 219.2239
84, 152.5821, 219.0498
85, 172.1548, 218.8166
86, 167.2566, 218.5467
87, 160.5156, 218.2535
88, 217.3133, 217.8161
89, 169.2346, 217.3113
90, 177.1453, 216.6658
91, 148.6572, 215.9538
92, 159.3008, 214.9675
93, 170.5918, 213.6366
94, 177.0487, 211.7651
95, 164.2223, 209.3084
96, 169.0193, 205.6915
97, 146.2344, 200.8186
98, 150.9554, 193.0083
99, 132.7508, 183.5340
100, 140.5940, 167.1096
101, 132.4569, 143.1417
102, 126.6305, 115.6556
103, 100.0640, 102.6401
104, 102.8731, 81.0388
105, 94.6125, 75.1150
106, 78.3462, 72.2558
107, 80.7315, 71.6780
108, 74.5461, 62.7347
109, 81.2783, 59.9788
110, 76.8286, 63.4477
111, 86.2946, 56.8655
112, 81.6439, 61.4443
113, 78.3334, 60.0446
114, 75.9656, 67.4536
115, 72.3996, 64.0005
116, 72.0884, 64.6957
117, 73.5496, 67.2453
118, 76.0137, 72.9404
119, 75.7351, 63.4178
120, 80.4791, 58.2157
121, 87.3312, 57.4099
Test RMSE: 7.1192, MAE: 1.5154
