Epoch, Train Loss, Validation Loss
1, 185.8197, 220.8959
2, 198.8887, 220.8880
3, 148.0819, 220.8818
4, 198.5142, 220.8737
5, 165.7380, 220.8664
6, 188.6191, 220.8580
7, 182.8371, 220.8496
8, 155.0300, 220.8421
9, 164.9309, 220.8340
10, 173.1873, 220.8252
11, 174.5872, 220.8164
12, 167.8301, 220.8073
13, 214.5992, 220.7957
14, 172.9013, 220.7856
15, 178.4116, 220.7737
16, 190.0581, 220.7607
17, 215.6120, 220.7449
18, 168.6953, 220.7299
19, 189.0175, 220.7126
20, 163.1554, 220.6955
21, 214.7745, 220.6717
22, 168.1072, 220.6495
23, 176.6051, 220.6244
24, 182.7654, 220.5936
25, 170.7328, 220.5621
26, 168.3284, 220.5236
27, 187.5040, 220.4746
28, 170.0949, 220.4208
29, 166.5112, 220.3602
30, 179.7301, 220.2788
31, 181.3851, 220.1837
32, 198.3590, 220.0510
33, 206.1531, 219.8766
34, 163.9845, 219.6770
35, 154.2631, 219.4264
36, 169.2454, 219.0663
37, 163.1962, 218.5715
38, 201.9849, 217.7071
39, 176.2916, 216.4384
40, 162.7455, 214.5455
41, 156.3127, 211.0931
42, 166.7110, 203.5888
43, 163.4250, 186.4678
44, 127.1247, 153.2791
45, 149.4962, 80.2135
46, 89.8334, 112.7435
47, 92.7585, 64.8166
48, 71.1923, 84.9220
49, 84.1405, 93.3483
50, 75.9270, 72.6596
51, 86.6204, 82.4406
52, 114.5624, 57.2149
53, 85.4483, 71.7362
54, 73.0418, 74.7710
55, 76.8428, 58.7200
56, 81.6832, 63.6563
57, 68.6106, 62.7128
58, 67.5499, 64.6305
59, 74.6513, 55.9892
60, 72.3987, 64.8056
61, 71.1575, 55.3952
62, 83.0545, 55.0403
63, 75.7570, 54.7642
64, 83.8919, 57.9092
65, 91.1811, 55.3640
66, 76.9097, 81.4894
67, 79.4965, 59.6539
68, 75.4435, 95.0159
69, 78.3159, 60.5930
70, 75.7671, 55.5964
71, 79.6805, 56.3775
72, 73.7330, 55.4206
73, 77.4553, 66.7985
Test RMSE: 7.1818, MAE: 1.1816
