Epoch, Train Loss, Validation Loss
1, 185.8154, 220.8814
2, 198.8706, 220.8568
3, 148.0567, 220.8359
4, 198.4674, 220.8064
5, 165.6792, 220.7756
6, 188.5297, 220.7323
7, 182.7162, 220.6756
8, 154.8885, 220.6086
9, 164.7267, 220.5062
10, 172.8839, 220.3395
11, 174.1409, 220.0559
12, 167.1262, 219.5140
13, 212.9840, 217.7958
14, 169.6569, 212.5945
15, 165.2738, 171.7901
16, 114.6901, 71.9720
17, 140.3653, 341.2971
18, 265.7346, 220.8463
19, 189.1182, 220.8344
20, 163.2492, 220.8253
21, 214.9011, 220.8147
22, 168.2207, 220.8059
23, 176.7294, 220.7976
24, 182.9166, 220.7890
25, 170.8837, 220.7812
26, 168.5115, 220.7734
Test RMSE: 8.6241, MAE: 2.9327
