Epoch, Train Loss, Validation Loss
1, 163.1699, 220.8933
2, 171.3564, 220.8917
3, 189.6316, 220.8900
4, 181.1434, 220.8884
5, 145.4105, 220.8869
6, 176.0230, 220.8854
7, 158.2850, 220.8839
8, 195.5403, 220.8821
9, 182.9432, 220.8803
10, 166.7366, 220.8788
11, 179.9228, 220.8771
12, 210.3715, 220.8753
13, 156.6565, 220.8738
14, 149.5497, 220.8723
15, 174.2259, 220.8707
16, 182.3831, 220.8689
17, 158.5929, 220.8674
18, 170.6261, 220.8657
19, 182.1281, 220.8641
20, 180.4518, 220.8623
21, 188.5987, 220.8606
22, 179.8720, 220.8589
23, 174.6205, 220.8572
24, 190.9258, 220.8554
25, 190.6557, 220.8537
26, 173.1382, 220.8520
27, 184.4532, 220.8503
28, 193.4795, 220.8485
29, 183.7675, 220.8467
30, 193.2330, 220.8449
31, 197.8222, 220.8431
32, 182.1088, 220.8414
33, 182.8664, 220.8397
34, 177.7312, 220.8379
35, 166.5347, 220.8362
36, 183.1472, 220.8344
37, 159.9063, 220.8328
38, 186.7792, 220.8309
39, 176.2293, 220.8291
40, 150.1881, 220.8276
41, 170.6525, 220.8258
42, 175.1254, 220.8239
43, 172.5383, 220.8220
44, 176.7997, 220.8201
45, 165.5248, 220.8183
46, 178.0381, 220.8163
47, 157.6579, 220.8145
48, 148.1918, 220.8128
49, 157.3277, 220.8110
50, 162.6433, 220.8090
51, 161.9607, 220.8071
52, 203.2934, 220.8048
53, 171.6763, 220.8027
54, 171.8070, 220.8007
55, 160.4854, 220.7986
56, 153.9654, 220.7967
