Epoch, Train Loss, Validation Loss
1, 185.8212, 220.9010
2, 198.8950, 220.8986
3, 148.0904, 220.8968
4, 198.5292, 220.8944
5, 165.7555, 220.8923
6, 188.6434, 220.8899
7, 182.8660, 220.8876
8, 155.0591, 220.8856
9, 164.9659, 220.8835
10, 173.2287, 220.8814
11, 174.6328, 220.8792
12, 167.8801, 220.8772
13, 214.6662, 220.8746
14, 172.9629, 220.8725
15, 178.4857, 220.8702
16, 190.1416, 220.8679
17, 215.7157, 220.8652
18, 168.7951, 220.8629
19, 189.1339, 220.8605
20, 163.2705, 220.8583
21, 214.9333, 220.8555
22, 168.2551, 220.8532
23, 176.7698, 220.8509
24, 182.9620, 220.8484
25, 170.9317, 220.8461
26, 168.5636, 220.8436
27, 187.7948, 220.8409
28, 170.4011, 220.8384
29, 166.8436, 220.8359
30, 180.1522, 220.8332
31, 181.8532, 220.8306
32, 198.9690, 220.8277
33, 206.8967, 220.8247
34, 164.7679, 220.8221
35, 155.1725, 220.8195
36, 170.4333, 220.8167
37, 164.6659, 220.8140
38, 204.2298, 220.8108
39, 179.1355, 220.8078
40, 166.3809, 220.8051
41, 161.8463, 220.8022
42, 176.3427, 220.7991
43, 180.7486, 220.7959
44, 157.7570, 220.7930
45, 233.3185, 220.7892
46, 148.3999, 220.7863
47, 187.5848, 220.7828
48, 150.0505, 220.7797
49, 154.4733, 220.7766
50, 163.5928, 220.7732
51, 225.0524, 220.7689
52, 207.5173, 220.7648
53, 177.8245, 220.7610
54, 162.8552, 220.7573
55, 183.3186, 220.7531
56, 181.1653, 220.7490
57, 169.8014, 220.7447
58, 163.3880, 220.7405
59, 189.3776, 220.7357
60, 172.0507, 220.7311
61, 184.8039, 220.7260
62, 194.0872, 220.7208
63, 189.3037, 220.7153
64, 185.5329, 220.7098
65, 194.2176, 220.7041
66, 160.4162, 220.6989
67, 205.7507, 220.6924
68, 153.0819, 220.6870
69, 176.9534, 220.6809
70, 193.4047, 220.6740
71, 196.7919, 220.6669
72, 184.5215, 220.6597
73, 204.7895, 220.6517
74, 158.5182, 220.6448
75, 174.9100, 220.6371
76, 202.5501, 220.6283
77, 159.0538, 220.6207
78, 194.2297, 220.6116
79, 149.5241, 220.6038
80, 166.0388, 220.5948
81, 174.9618, 220.5856
82, 162.3902, 220.5762
83, 177.4672, 220.5653
84, 184.7321, 220.5542
85, 165.1579, 220.5436
86, 187.7958, 220.5311
87, 185.6306, 220.5179
88, 166.2110, 220.5050
89, 181.2698, 220.4912
90, 187.4087, 220.4760
91, 206.2286, 220.4597
92, 223.5316, 220.4407
93, 152.4082, 220.4254
94, 199.3020, 220.4056
95, 154.9783, 220.3881
96, 202.7470, 220.3664
97, 188.5121, 220.3439
98, 167.7114, 220.3218
99, 190.6367, 220.2964
100, 200.9852, 220.2684
101, 187.2357, 220.2403
102, 150.9666, 220.2148
103, 198.4145, 220.1807
104, 203.4906, 220.1426
105, 166.0636, 220.1078
106, 181.9855, 220.0681
107, 192.0589, 220.0224
108, 165.5405, 219.9792
109, 163.0195, 219.9338
110, 169.0641, 219.8852
111, 165.4381, 219.8317
112, 189.9772, 219.7664
113, 180.5054, 219.7009
114, 183.9593, 219.6226
115, 166.3380, 219.5464
116, 192.9438, 219.4489
117, 172.0658, 219.3523
118, 189.9764, 219.2364
119, 197.3334, 219.1019
120, 157.5999, 218.9791
121, 149.6371, 218.8515
122, 164.2572, 218.6972
123, 188.8414, 218.5022
124, 177.5303, 218.2900
125, 162.8971, 218.0703
126, 170.1302, 217.8208
127, 170.4056, 217.5199
128, 166.2134, 217.1754
129, 174.3992, 216.7587
130, 177.2188, 216.2763
131, 161.4108, 215.7488
132, 167.3420, 215.1174
133, 156.9286, 214.3891
134, 163.3991, 213.5221
135, 185.0547, 212.3462
136, 165.2918, 210.9701
137, 175.0581, 209.1185
138, 161.6696, 206.8535
139, 155.4977, 204.1236
140, 145.0880, 200.8834
141, 155.1017, 196.2861
142, 168.5344, 189.8718
143, 162.9310, 180.6754
144, 162.3327, 168.4905
145, 150.3988, 152.4609
146, 124.4796, 134.7653
147, 117.3912, 116.1862
148, 91.3385, 106.3311
149, 113.7945, 89.8017
150, 92.1379, 81.9907
151, 90.3226, 75.8087
152, 76.5796, 78.3597
153, 94.0612, 67.6198
154, 83.0515, 70.9446
155, 78.9714, 75.4028
156, 86.7161, 69.3087
157, 80.1271, 64.6774
158, 79.0470, 60.3263
159, 85.7709, 59.7538
160, 77.9527, 60.5824
161, 75.2974, 59.7198
162, 83.1352, 65.1918
163, 82.3443, 63.0950
164, 88.4060, 60.8538
165, 76.3045, 65.0455
166, 73.1663, 63.6804
167, 66.9178, 64.2471
168, 89.6317, 63.5499
169, 74.2853, 64.2902
170, 71.3268, 64.8262
171, 79.9664, 62.2517
Test RMSE: 7.1341, MAE: 1.3530
