Epoch, Train Loss, Validation Loss
1, 164.2967, 220.4694
2, 178.3457, 219.2589
3, 191.9695, 216.2540
4, 183.8004, 210.0540
5, 171.0317, 199.0996
6, 152.5538, 182.5123
7, 131.3150, 162.3821
8, 121.5234, 143.5746
9, 110.1208, 127.2320
10, 117.1832, 113.3045
11, 117.5711, 96.7821
12, 93.3682, 85.2359
13, 91.3786, 80.3130
14, 100.5639, 82.0058
15, 77.9470, 76.7582
16, 84.5811, 72.2844
17, 83.9680, 68.9115
18, 73.1779, 67.6663
19, 80.4287, 68.3728
20, 81.8301, 68.5957
21, 77.3308, 70.4669
22, 71.0440, 68.1336
23, 77.3052, 66.6950
24, 70.1476, 64.3325
25, 68.9523, 64.8559
26, 72.4501, 66.4951
27, 73.6029, 69.3175
28, 71.2981, 67.0316
29, 78.0962, 66.9666
30, 74.3611, 63.6635
31, 67.5248, 62.6143
32, 76.1507, 60.6421
33, 74.4878, 59.1771
34, 81.6510, 64.3851
35, 67.2436, 68.4639
36, 70.7762, 70.5365
37, 73.1172, 67.3968
38, 71.4924, 60.8557
39, 71.1827, 62.8237
40, 68.9999, 66.3568
41, 68.4684, 72.2267
42, 70.7500, 67.1106
43, 72.8534, 61.4853
Test RMSE: 7.6585, MAE: 1.4530
