Epoch, Train Loss, Validation Loss
1, 158.6679, 188.2150
2, 131.7506, 126.6417
3, 124.4750, 117.4275
4, 107.0714, 87.6336
5, 78.0080, 103.5513
6, 93.5235, 75.8715
7, 80.5604, 81.5533
8, 94.7815, 83.9812
9, 73.3813, 62.0084
10, 79.6487, 96.5543
11, 85.9761, 73.8897
12, 87.2421, 59.9997
13, 71.4816, 94.2107
14, 78.5328, 101.3209
15, 81.9547, 58.1235
16, 76.7446, 69.5017
17, 65.6072, 75.7451
18, 64.8697, 55.8528
19, 72.6334, 61.5243
20, 67.6916, 61.7865
21, 72.2750, 56.1125
22, 71.1486, 65.9437
23, 65.2738, 59.8338
24, 71.2546, 55.1684
25, 71.6763, 57.2466
26, 62.0837, 58.1385
27, 64.6435, 53.0769
28, 69.3177, 64.4531
29, 63.8848, 51.7631
30, 69.8304, 53.2715
31, 80.3386, 71.6848
32, 62.6077, 51.1013
33, 64.9220, 52.3894
34, 62.5073, 69.6118
35, 60.6426, 51.9587
36, 65.0857, 60.0553
37, 59.8500, 68.2732
38, 68.4555, 67.7880
39, 72.4263, 92.1915
40, 67.8735, 53.4779
41, 56.9504, 57.1047
42, 55.0839, 53.4546
Test RMSE: 7.1184, MAE: 1.4667
