Epoch, Train Loss, Validation Loss
1, 198.8811, 200.1042
2, 198.8550, 200.0628
3, 198.8211, 200.0056
4, 198.7025, 199.9097
5, 198.5722, 199.7056
6, 198.2056, 199.0815
7, 196.6470, 194.9885
8, 165.2396, 105.7202
9, 99.4366, 87.6762
10, 86.2078, 73.0129
11, 63.0293, 45.9246
12, 47.3604, 42.5489
13, 46.7535, 43.6423
14, 46.5074, 43.4148
15, 46.1494, 42.3918
16, 46.2256, 45.7729
17, 46.2934, 42.5623
18, 46.3626, 42.7160
19, 45.6401, 42.0590
20, 45.8640, 42.4001
21, 45.4502, 42.0261
22, 45.2400, 41.9814
23, 44.9216, 43.8090
24, 45.1130, 41.9438
25, 45.6345, 41.9070
26, 44.9904, 42.5355
27, 44.7317, 42.6438
28, 44.7531, 43.5162
29, 45.2324, 42.4600
30, 44.5553, 42.9583
31, 44.6107, 42.3220
32, 44.6636, 42.0696
33, 44.3365, 42.0612
34, 44.3785, 41.7374
35, 44.5323, 42.7465
36, 44.0808, 42.4109
37, 44.0280, 41.7634
38, 43.9263, 41.6930
39, 43.9358, 42.5212
40, 44.1484, 41.9419
41, 43.7538, 41.8510
42, 43.8399, 42.9444
43, 43.8824, 41.6813
44, 44.0655, 41.7530
45, 43.9930, 42.6990
46, 43.8045, 41.6369
47, 43.7970, 42.5395
48, 43.6885, 41.8623
49, 43.6320, 41.7162
50, 43.5758, 42.2069
51, 43.6636, 42.0781
52, 43.8019, 42.2547
53, 43.3935, 42.0355
54, 43.6128, 43.2536
55, 43.6665, 41.7050
56, 43.3376, 41.7008
Test RMSE: 7.3581, MAE: 1.0236
