Epoch, Train Loss, Validation Loss
1, 188.0960, 220.8155
2, 187.9661, 220.6875
3, 187.7910, 220.4234
4, 187.5781, 219.6224
5, 186.3580, 216.0036
6, 178.9432, 193.0518
7, 144.3065, 111.5988
8, 97.2262, 67.6965
9, 83.7068, 62.4001
10, 82.2300, 58.8330
11, 81.7096, 58.5339
12, 81.6875, 60.8073
13, 81.4944, 61.3159
14, 81.4115, 60.4493
15, 81.0893, 61.2903
16, 81.0204, 65.0053
17, 81.1129, 57.0195
18, 80.9021, 59.8037
19, 80.6457, 55.1743
20, 80.8377, 57.3719
21, 80.3488, 66.0119
22, 80.6662, 57.4284
23, 79.8812, 57.4984
24, 79.8169, 63.2690
25, 79.9095, 61.3868
26, 79.6287, 59.3721
27, 79.2367, 58.2866
28, 79.1698, 59.7287
29, 79.2173, 55.6756
30, 78.8462, 59.0222
31, 78.5639, 59.9267
32, 78.4465, 60.5486
33, 78.0342, 61.4351
34, 77.9043, 56.2641
35, 77.4338, 58.3142
36, 77.0533, 59.6704
37, 76.9332, 54.3026
38, 76.6368, 54.1612
39, 76.0157, 56.2011
40, 75.8394, 57.3767
41, 75.2104, 49.3351
42, 75.0512, 55.1079
43, 74.9704, 50.5060
44, 74.2335, 48.0566
45, 74.3151, 48.7233
46, 73.9326, 47.9250
47, 72.8009, 51.7502
48, 72.6613, 46.1373
49, 72.6781, 57.4867
50, 73.5082, 51.7857
51, 72.5722, 46.6265
52, 73.6705, 57.2300
53, 71.2925, 44.9500
54, 72.7168, 50.2270
55, 72.5237, 46.1962
56, 71.4729, 53.4847
57, 70.7985, 44.4920
58, 70.6888, 53.2994
59, 70.9343, 57.0750
60, 74.1756, 50.3131
61, 70.0743, 49.8299
62, 70.5836, 48.0993
63, 72.7305, 50.5231
64, 72.8573, 62.3956
65, 69.3499, 60.1325
66, 71.0342, 46.5970
67, 70.3738, 54.6684
68, 73.3014, 50.1389
69, 70.2740, 49.3335
70, 71.0389, 46.0560
71, 71.9440, 52.6608
72, 69.5838, 66.4793
73, 70.1681, 48.4131
74, 71.2931, 55.0301
75, 69.5315, 54.0586
76, 68.8506, 59.1066
77, 71.1758, 49.4583
78, 70.1222, 44.0150
79, 68.7283, 42.7611
80, 68.6184, 47.8639
81, 68.7705, 45.5508
82, 69.8202, 52.6867
83, 68.2369, 44.2885
84, 68.7654, 42.3414
85, 67.8664, 46.9406
86, 69.8299, 64.8511
87, 69.5652, 44.1093
88, 68.2730, 43.4895
89, 68.2556, 47.5288
90, 69.7049, 43.7466
91, 70.3158, 59.2101
92, 68.5426, 67.6388
93, 68.7964, 42.0949
94, 67.1015, 59.9495
95, 67.3352, 48.8901
96, 71.4278, 49.3872
97, 69.2610, 49.4359
98, 69.3377, 45.0024
99, 66.8215, 41.3866
100, 69.3031, 42.7896
101, 69.2796, 49.3155
102, 69.6136, 48.4297
103, 68.9355, 66.3894
104, 68.1422, 55.3724
105, 69.0064, 42.5555
106, 68.4792, 42.1203
107, 67.4972, 42.6329
108, 67.2940, 42.3666
109, 66.4812, 41.7614
110, 68.5674, 41.0942
111, 67.7480, 50.7904
112, 66.7348, 43.2369
113, 69.5883, 41.5632
114, 67.6488, 96.0258
115, 69.3284, 59.6686
116, 67.7366, 44.2193
117, 67.1208, 41.9813
118, 66.8220, 63.6951
119, 68.3646, 42.0539
120, 67.4101, 46.3051
121, 68.2460, 45.1978
122, 67.2836, 42.3435
123, 68.0088, 49.5194
124, 68.1575, 63.1095
125, 67.7966, 69.4726
126, 67.3172, 41.8147
127, 67.8073, 46.1619
128, 67.4571, 41.4692
129, 66.0002, 45.9674
130, 66.7992, 44.4656
131, 70.6082, 41.3002
132, 68.9050, 43.6295
133, 65.9864, 46.4742
134, 67.9840, 41.7162
135, 66.3280, 71.5576
136, 67.1782, 41.8340
137, 66.8906, 47.9912
138, 67.7934, 55.9823
139, 69.2427, 51.1227
140, 66.2165, 43.2573
141, 66.7283, 42.7868
142, 66.2205, 45.0943
143, 67.5568, 41.9513
144, 66.7723, 43.6799
145, 66.3319, 53.7960
146, 67.1963, 53.3613
147, 65.8706, 50.5431
148, 66.9099, 69.5703
149, 65.6634, 41.2306
150, 66.6354, 57.6685
151, 66.8375, 40.9644
152, 65.5279, 42.8947
153, 68.5864, 42.8797
154, 66.2910, 43.9710
155, 68.2769, 52.5269
156, 67.6833, 46.8623
157, 67.0125, 51.6487
158, 66.1356, 49.1636
159, 65.7081, 42.7543
160, 67.2972, 43.9284
161, 66.7146, 45.9344
162, 68.5894, 54.3776
163, 68.2383, 45.2961
164, 65.8223, 41.4785
165, 65.0465, 50.2432
166, 67.0174, 56.1498
167, 65.6376, 43.4849
168, 66.2876, 41.3620
169, 66.7237, 42.7603
170, 66.0088, 52.4078
171, 66.8629, 50.8648
172, 66.3324, 54.5945
173, 66.3166, 42.8150
174, 65.3672, 44.7723
175, 66.9137, 62.5946
176, 66.7296, 48.0810
177, 66.2293, 41.1101
178, 66.1913, 42.6928
179, 65.8384, 40.8639
180, 65.1764, 43.8687
181, 65.3583, 43.8996
182, 65.9098, 58.3965
183, 66.2444, 40.7980
184, 66.5644, 42.1067
185, 68.6682, 44.8680
186, 67.0818, 42.5532
187, 66.0182, 45.0960
188, 66.8617, 45.6938
189, 65.5079, 43.4551
190, 68.6911, 40.9782
191, 66.0704, 45.8582
192, 65.0754, 42.1148
193, 67.2496, 40.9269
194, 64.4705, 46.5139
195, 65.7883, 45.6823
196, 65.2554, 50.4611
197, 65.8761, 45.3330
198, 64.8778, 40.5438
199, 67.2048, 50.2838
200, 66.9701, 42.2459
201, 66.6585, 40.7808
202, 64.5631, 40.9407
203, 64.9557, 53.9478
204, 64.3361, 47.7653
205, 64.9463, 41.0196
206, 66.8284, 40.5140
207, 64.6633, 51.0839
208, 67.8955, 41.7359
209, 65.0857, 56.9247
210, 65.3053, 41.5701
211, 66.7653, 44.3536
212, 64.3087, 40.4266
213, 65.4638, 41.4128
214, 66.2475, 51.1724
215, 65.6060, 47.2384
216, 64.9874, 45.6603
217, 65.1085, 41.5286
218, 65.3223, 46.5516
219, 63.8469, 45.0516
220, 65.4589, 65.6495
221, 64.3647, 47.2049
222, 65.1372, 43.8794
223, 66.5247, 40.6717
224, 65.7077, 64.8259
225, 65.6070, 41.0650
226, 65.0009, 44.4598
227, 66.1801, 40.6959
228, 64.2074, 40.4296
229, 64.9557, 46.7293
230, 65.7065, 46.2725
231, 65.0733, 49.2408
232, 66.1538, 40.1098
233, 66.0860, 62.5396
234, 66.0885, 43.8235
235, 65.8321, 42.8325
236, 64.4619, 40.3981
237, 65.8063, 40.5766
238, 64.2613, 43.8993
239, 63.9969, 41.0640
240, 66.1023, 41.0003
241, 64.2958, 53.0351
242, 64.8760, 40.0396
243, 64.9235, 41.4352
244, 65.8195, 46.9326
245, 64.4984, 40.1581
246, 64.4425, 57.8311
247, 64.7480, 40.2674
248, 65.3050, 41.2289
249, 64.7336, 47.3960
250, 65.7424, 52.3101
251, 65.3692, 51.3052
252, 64.0415, 41.7377
253, 64.3066, 41.6346
254, 63.9520, 40.5504
255, 63.6579, 43.9163
256, 64.5215, 39.7914
257, 65.3719, 50.0937
258, 65.5200, 39.7485
259, 63.9185, 51.2490
260, 64.5089, 40.5810
261, 63.9920, 43.0685
262, 63.3957, 46.7023
263, 63.7896, 43.3981
264, 63.3999, 53.4212
265, 66.3550, 40.0548
266, 65.6356, 39.8308
267, 62.8665, 43.3246
268, 65.2315, 40.7007
269, 63.6213, 42.2848
270, 62.7041, 59.3866
271, 63.1097, 40.3653
272, 64.9151, 42.9185
273, 64.8985, 39.6255
274, 65.7097, 39.8961
275, 64.3688, 39.5716
276, 64.2459, 46.7789
277, 64.2079, 42.5642
278, 64.2932, 46.1678
279, 65.8772, 40.9233
280, 63.6830, 39.5986
281, 63.0107, 64.9938
282, 63.4321, 39.3519
283, 65.3168, 39.2017
284, 64.4726, 41.8489
285, 63.2220, 39.2556
286, 65.3456, 39.2027
287, 64.2205, 41.1092
288, 64.7043, 40.7485
289, 64.4633, 47.0772
290, 63.4267, 39.1916
291, 63.3403, 49.5137
292, 62.4729, 40.4039
293, 63.6498, 56.3299
294, 64.0424, 40.4442
295, 62.3167, 47.7555
296, 62.6993, 46.2547
297, 64.1256, 38.9966
298, 64.3684, 41.2903
299, 63.1386, 53.5826
300, 64.5751, 53.6579
301, 62.6268, 56.1488
302, 62.8511, 39.4054
303, 61.6757, 55.3801
304, 62.8650, 44.1143
305, 64.5895, 38.5292
306, 63.0191, 40.6173
307, 61.1665, 47.5524
308, 64.3944, 39.8698
309, 63.4979, 69.0584
310, 62.2192, 54.8242
311, 61.4491, 50.2935
312, 61.0878, 38.9933
313, 62.9064, 49.5408
314, 63.3444, 42.4014
315, 62.2289, 60.4691
316, 62.8809, 38.7084
317, 64.7512, 43.1902
318, 62.1206, 53.2651
319, 63.8083, 45.0061
320, 62.8014, 38.4557
321, 64.7609, 41.7037
322, 62.7093, 55.5657
323, 63.6681, 59.2921
324, 61.8804, 38.7225
325, 63.3932, 39.0571
326, 62.2524, 48.2059
327, 62.3532, 39.0256
328, 62.3330, 52.2125
329, 62.5112, 41.2248
330, 62.0663, 39.5840
331, 61.1445, 39.0448
332, 62.9410, 39.3506
333, 62.8546, 41.8999
334, 62.6403, 43.3107
335, 61.1178, 38.7597
336, 61.3949, 39.4735
337, 62.8481, 43.2217
338, 62.8862, 42.3717
339, 62.0763, 38.0863
340, 62.3038, 39.6115
341, 60.8225, 37.7226
342, 62.4262, 97.6269
343, 66.0168, 39.0405
344, 62.7652, 43.4138
345, 59.7467, 39.6545
346, 64.5683, 39.3166
347, 61.7915, 37.0979
348, 61.9446, 40.1129
349, 61.1878, 64.8735
350, 60.8033, 44.3440
351, 60.8493, 79.9510
352, 63.5715, 40.6114
353, 62.4627, 44.0248
354, 61.4624, 42.6797
355, 60.7209, 44.7372
356, 61.3947, 37.6174
357, 62.2375, 46.5886
358, 62.0153, 51.1926
359, 62.6561, 42.9606
360, 63.4869, 38.8843
361, 61.7105, 41.6420
362, 60.7087, 38.1785
363, 63.1694, 53.3641
364, 60.6124, 50.8423
365, 61.9612, 38.1523
