Epoch, Train Loss, Validation Loss
1, 188.0960, 220.8155
2, 187.9661, 220.6875
3, 187.7910, 220.4234
4, 187.5781, 219.6224
5, 186.3580, 216.0036
6, 178.9432, 193.0518
7, 144.3064, 111.5988
8, 97.2262, 67.6964
9, 83.7068, 62.4001
10, 82.2300, 58.8330
11, 81.7096, 58.5339
12, 81.6875, 60.8073
13, 81.4944, 61.3159
14, 81.4115, 60.4493
15, 81.0893, 61.2903
16, 81.0204, 65.0053
17, 81.1129, 57.0195
18, 80.9021, 59.8037
19, 80.6457, 55.1743
20, 80.8377, 57.3719
21, 80.3488, 66.0119
22, 80.6662, 57.4284
23, 79.8812, 57.4984
24, 79.8169, 63.2690
25, 79.9095, 61.3868
26, 79.6287, 59.3721
27, 79.2367, 58.2866
28, 79.1698, 59.7287
29, 79.2173, 55.6756
30, 78.8462, 59.0222
31, 78.5639, 59.9268
32, 78.4465, 60.5486
33, 78.0342, 61.4351
34, 77.9043, 56.2641
35, 77.4338, 58.3141
36, 77.0533, 59.6704
37, 76.9332, 54.3026
38, 76.6368, 54.1612
39, 76.0157, 56.2011
40, 75.8394, 57.3767
41, 75.2104, 49.3351
42, 75.0512, 55.1079
43, 74.9704, 50.5060
44, 74.2335, 48.0566
45, 74.3151, 48.7232
46, 73.9326, 47.9250
47, 72.8009, 51.7497
48, 72.6613, 46.1373
49, 72.6781, 57.4868
50, 73.5082, 51.7856
51, 72.5721, 46.6265
52, 73.6705, 57.2301
53, 71.2926, 44.9500
54, 72.7168, 50.2269
55, 72.5237, 46.1962
56, 71.4729, 53.4846
57, 70.7985, 44.4935
58, 70.6885, 53.2993
59, 70.9343, 57.0750
60, 74.1749, 50.3105
61, 70.0747, 49.8295
62, 70.5837, 48.0993
63, 72.7305, 50.5246
64, 72.8575, 62.3948
65, 69.3498, 60.1339
66, 71.0345, 46.5950
67, 70.3734, 54.6662
68, 73.3007, 50.1384
69, 70.2740, 49.3351
70, 71.0398, 46.0563
71, 71.9437, 52.6622
72, 69.5848, 66.4637
73, 70.1679, 48.4115
74, 71.2937, 55.0304
75, 69.5323, 54.0574
76, 68.8510, 59.1055
77, 71.1755, 49.4583
Test RMSE: 7.2275, MAE: 1.1586
