Epoch, Train Loss, Validation Loss
1, 161.4054, 107.2354
2, 90.8606, 62.3813
3, 82.1122, 61.6052
4, 81.6360, 60.3427
5, 81.2618, 58.7139
6, 81.1154, 61.1521
7, 80.9022, 58.2049
8, 80.4367, 59.1975
9, 79.9601, 63.6057
10, 80.1023, 61.4214
11, 79.2343, 57.5745
12, 78.7691, 60.4954
13, 78.1579, 54.6264
14, 78.0696, 55.3289
15, 76.4851, 55.0651
16, 75.4094, 59.8566
17, 74.4300, 51.7779
18, 73.2157, 52.1937
19, 72.2068, 48.6441
20, 71.9471, 52.1242
21, 70.0478, 59.0811
22, 69.9649, 51.6188
23, 69.7695, 52.0635
24, 68.6290, 62.2697
25, 69.4340, 54.9404
26, 69.1239, 52.4570
27, 67.8731, 49.4057
28, 68.2662, 55.5678
29, 66.9484, 43.3892
30, 66.6524, 47.6186
31, 66.6537, 48.9513
32, 65.1601, 48.6419
33, 65.3279, 44.3705
34, 64.7065, 43.2379
35, 64.1255, 43.8298
36, 63.5324, 54.1956
37, 63.0523, 45.9284
38, 63.0001, 54.5940
39, 62.6102, 40.0785
40, 62.1604, 47.1781
41, 61.1282, 46.8412
42, 61.0449, 44.9328
43, 61.3434, 38.7349
44, 59.6472, 41.9420
45, 58.8943, 48.3738
46, 59.1090, 39.6522
47, 58.3975, 38.1261
48, 58.2487, 37.7810
49, 58.5551, 40.8559
50, 57.2375, 42.2230
51, 57.4173, 36.8165
52, 57.6449, 36.8863
53, 56.1078, 39.4210
54, 55.7073, 38.2901
55, 55.8709, 36.8717
56, 56.8362, 43.2233
57, 55.3580, 37.7744
58, 54.6006, 36.0211
59, 54.7897, 37.7362
60, 54.9829, 39.3365
61, 54.7772, 36.5528
62, 55.0512, 37.7911
63, 54.1759, 43.0485
64, 54.0072, 38.6903
65, 53.6698, 38.3091
66, 53.4228, 36.2197
67, 53.4027, 39.2790
68, 54.3469, 35.5566
69, 53.8934, 35.3826
70, 52.9108, 35.5884
71, 52.2905, 53.6866
72, 54.4109, 38.1011
73, 53.4843, 37.1137
74, 52.0913, 35.8578
75, 52.1292, 37.5543
76, 52.8313, 35.6247
77, 54.3857, 38.0639
78, 51.8840, 35.3193
79, 51.9861, 38.5233
80, 51.4827, 35.6430
81, 51.8890, 37.4740
82, 51.8627, 38.7255
83, 51.6486, 40.8104
84, 52.0221, 38.0509
85, 51.5977, 37.9595
86, 51.3536, 36.9657
87, 51.5990, 43.9890
88, 51.8001, 37.1625
89, 51.9625, 39.6836
90, 51.5088, 39.4895
91, 51.2934, 38.7595
92, 50.5051, 36.7487
93, 50.9107, 37.2472
94, 51.7660, 38.6571
95, 51.2700, 37.5058
96, 51.1793, 38.8888
97, 50.9151, 36.6636
98, 51.3133, 41.1044
Test RMSE: 5.9085, MAE: 1.0634
