Epoch, Train Loss, Validation Loss
1, 19992343901.2852, 15713882624.0000
2, 15583358751.1056, 5473214720.0000
3, 1552186309.7316, 224.1263
4, 179.1898, 222.0787
5, 169.9113, 229.1725
6, 215.9387, 289.1693
7, 176071269.9843, 60583290.0000
8, 15156352.9911, 646.1199
9, 628.8567, 688.8853
10, 652.6458, 720.4827
11, 691.7596, 736.8373
12, 719.4932, 776.1512
13, 756.6711, 796.2874
14, 789.5495, 799.9426
1, 385.5957, 206.5955
2, 161.9115, 216.5496
3, 186.2767, 217.8058
4, 195.9506, 207.6798
5, 139.3681, 190.9429
6, 134.5325, 172.4402
7, 125.3180, 154.8939
8, 142.4863, 140.7581
9, 121.1475, 128.7194
10, 117.6187, 115.7638
11, 90.5139, 104.1213
12, 89.1873, 97.5560
13, 93.1242, 92.0977
14, 85.8425, 87.0673
15, 79.9851, 82.3447
16, 76.3254, 76.2311
17, 90.8557, 71.4196
18, 75.2373, 68.4198
19, 74.0522, 67.6015
20, 77.9441, 67.9535
21, 80.6060, 67.7178
22, 73.4634, 66.6115
23, 75.0425, 67.4569
24, 67.1452, 71.3668
25, 78.3764, 73.8694
26, 99.2728, 71.5009
27, 78.2221, 66.2504
28, 70.0267, 63.4964
29, 68.1630, 62.8486
30, 76.8846, 62.9853
31, 75.9765, 63.3386
32, 66.6163, 63.7673
33, 75.6118, 64.3093
34, 71.5191, 63.4301
35, 70.4635, 62.2142
36, 70.3279, 64.2693
37, 83.2344, 66.5196
38, 68.8621, 65.8215
39, 66.6085, 66.8032
40, 68.9288, 66.6969
41, 67.4313, 66.6856
42, 67.2408, 68.3145
43, 66.5842, 68.6629
44, 73.1046, 66.1929
45, 84.1505, 62.6859
1, 82.1828, 66.9072
2, 77.9145, 62.3839
3, 78.4568, 62.1849
4, 65.2343, 64.2074
5, 68.0125, 64.1182
6, 73.3055, 63.8292
7, 69.3940, 63.2809
8, 65.8461, 65.4909
9, 69.5809, 68.7680
10, 68.9541, 70.9073
11, 67.5423, 70.6531
12, 72.3005, 69.3148
13, 72.0746, 66.4311
1, 67.0220, 63.6594
2, 67.4846, 62.7516
3, 67.6583, 63.5936
4, 77.0485, 65.8659
5, 88.4829, 66.4286
6, 69.9372, 64.4278
7, 64.6590, 63.0823
8, 75.8403, 62.3826
9, 77.4491, 62.7525
10, 67.1873, 62.5200
11, 66.9278, 62.7543
12, 68.8430, 62.7269
13, 81.9466, 62.3049
14, 68.3947, 60.9249
15, 78.7124, 60.0950
16, 69.2105, 60.7502
17, 74.0598, 61.6128
18, 68.3494, 61.5728
19, 65.7156, 62.0648
20, 75.5046, 61.9291
21, 71.8052, 61.5086
22, 73.7360, 62.3227
23, 68.6651, 62.6506
24, 74.7736, 62.6804
25, 69.5595, 63.7886
1, 69.6384, 62.9319
2, 67.6348, 63.8076
3, 66.4001, 63.6380
4, 71.0752, 63.9808
5, 75.4130, 64.6320
6, 65.4985, 64.9336
7, 75.0439, 64.3878
8, 70.2291, 64.0264
9, 72.1562, 64.4536
10, 75.5774, 64.6427
11, 69.4631, 64.5960
1, 61.3953, 64.2465
2, 67.9475, 64.5598
3, 72.2641, 64.7996
4, 71.0144, 65.0329
5, 66.4929, 65.2854
6, 76.0414, 65.3734
7, 66.8385, 65.2836
8, 65.6552, 65.3444
9, 76.6216, 65.1473
10, 66.6287, 65.1398
11, 75.6298, 65.2888
1, 69.6873, 65.5064
2, 72.8088, 65.7420
3, 66.3824, 65.8760
4, 88.9188, 65.8877
5, 79.4339, 65.5790
6, 69.2745, 65.1762
7, 73.5469, 64.8567
8, 68.7898, 64.5793
9, 73.1227, 64.3236
10, 66.8743, 64.1041
11, 77.1285, 63.9880
12, 65.0146, 63.8523
13, 73.8595, 63.8210
14, 67.5349, 63.6951
15, 69.7316, 63.7069
16, 65.6578, 63.6954
17, 69.6129, 63.6723
18, 70.7888, 63.8171
19, 68.6056, 64.1399
20, 76.3699, 64.5089
21, 77.3004, 64.7402
22, 74.3276, 64.6802
23, 75.2882, 64.5689
24, 65.6449, 64.4208
25, 70.6024, 64.2861
26, 74.5258, 64.2759
27, 68.2760, 64.1555
1, 75.7531, 64.2992
2, 74.3131, 64.1067
3, 68.0392, 63.9553
4, 74.4721, 63.9293
5, 67.1618, 63.9499
6, 66.8242, 64.0058
7, 69.1624, 64.0654
8, 69.1024, 64.2043
9, 64.5545, 64.2518
10, 67.0591, 64.2946
11, 66.4457, 64.2217
12, 75.3043, 64.2218
13, 72.6786, 64.0382
14, 74.9453, 63.8574
15, 77.6649, 63.6557
16, 72.5657, 63.4737
17, 73.1363, 63.3246
18, 74.8231, 63.1436
19, 64.7099, 63.1226
20, 67.1741, 63.1350
21, 68.6286, 63.2398
22, 71.5390, 63.4233
23, 62.8760, 63.6236
24, 76.6734, 63.7740
25, 69.6469, 63.8465
26, 73.7006, 63.9093
27, 65.9081, 64.0800
