Epoch, Train Loss, Validation Loss
1, 176.2434, 219.7800
2, 158.8808, 215.5929
3, 148.0293, 206.0777
4, 160.6205, 189.4108
5, 139.1034, 166.2946
6, 137.5609, 141.1980
7, 102.9709, 120.4923
8, 99.6124, 108.1284
9, 98.6066, 99.2165
10, 83.7258, 87.3436
11, 81.3871, 78.1257
12, 81.2326, 71.7226
13, 77.7128, 68.8170
14, 85.7745, 66.8803
15, 81.7655, 64.3549
16, 75.1997, 63.3592
17, 72.1800, 65.1015
18, 80.9887, 64.9353
19, 70.4026, 63.9781
20, 71.1013, 68.9939
21, 66.7262, 71.6677
22, 77.9589, 67.8950
23, 72.2988, 60.6165
24, 71.0078, 57.8143
25, 70.7647, 58.1823
26, 70.3133, 64.6095
27, 74.5728, 72.4888
28, 74.6891, 71.8091
29, 69.3318, 65.4942
30, 65.6449, 58.1357
31, 84.7319, 55.5845
32, 70.4378, 56.1921
33, 68.9452, 60.3139
34, 75.0120, 63.9115
35, 79.3913, 62.4182
36, 68.8961, 58.8616
37, 73.2078, 59.9186
38, 64.0159, 67.6124
39, 79.0517, 72.8755
40, 100.7692, 67.3854
41, 74.0268, 58.4149
42, 68.6986, 56.3423
43, 67.6442, 57.6696
44, 74.4039, 61.2560
45, 72.7999, 62.6740
46, 63.8052, 61.7775
47, 75.5263, 60.6244
48, 69.3429, 58.2241
49, 68.8022, 56.9075
50, 66.5487, 60.9669
51, 80.6999, 64.1217
Test RMSE: 7.2468, MAE: 1.2518
