Epoch, Train Loss, Validation Loss
1, 128.1916, 74.9475
2, 82.9046, 60.7740
3, 81.3038, 61.3437
4, 80.4358, 60.1198
5, 79.0478, 58.8580
6, 78.2627, 55.0258
7, 75.5715, 52.5207
8, 73.4213, 60.1575
9, 70.9512, 49.1333
10, 71.0594, 49.0718
11, 70.9136, 67.5140
12, 70.1339, 46.4014
13, 68.7781, 47.3253
14, 68.8930, 52.3314
15, 67.6607, 54.7040
16, 66.7453, 44.7381
17, 64.9397, 43.3355
18, 64.8276, 40.4686
19, 63.6087, 40.2340
20, 63.6656, 40.7892
21, 63.2888, 47.5014
22, 61.7779, 40.3812
23, 60.8431, 39.7757
24, 60.8885, 39.8885
25, 60.9320, 46.0944
26, 60.3146, 40.9421
27, 58.4241, 43.0034
28, 59.4713, 42.8616
29, 58.6339, 37.5820
30, 57.3896, 37.9903
31, 57.8166, 44.3826
32, 57.3271, 37.6480
33, 60.8465, 37.9250
34, 57.3027, 42.8149
35, 59.8318, 40.4547
36, 55.9288, 38.5684
37, 54.9435, 35.8794
38, 54.8862, 38.6729
39, 57.7366, 36.8760
40, 58.1918, 38.3681
41, 54.9741, 38.2585
42, 54.2183, 38.0834
43, 54.5994, 41.4090
44, 53.1071, 38.0101
45, 53.0076, 44.2519
46, 54.4394, 40.1046
47, 53.6098, 37.4849
48, 52.2750, 39.0426
49, 52.6402, 38.8352
50, 51.0560, 45.2495
51, 52.3140, 36.3003
52, 54.1976, 42.3121
53, 53.8392, 39.4626
54, 51.1545, 39.1816
55, 52.3488, 37.1454
56, 51.2255, 39.0743
57, 51.2039, 37.6354
Test RMSE: 6.2859, MAE: 1.1559
