Epoch, Train Loss, Validation Loss
1, 176.1022, 218.9752
2, 157.7953, 210.8121
3, 143.4520, 192.8849
4, 147.7108, 164.7767
5, 121.8573, 134.1776
6, 117.5292, 111.0011
7, 89.6716, 96.4336
8, 85.2080, 93.1124
9, 87.3116, 87.1775
10, 75.9327, 75.0592
11, 74.1377, 68.7620
12, 76.5891, 65.7903
13, 74.4871, 65.8420
14, 83.5685, 64.8240
15, 80.1874, 61.3139
16, 74.6168, 60.3002
17, 71.0441, 63.6861
18, 80.5364, 63.7962
19, 70.2300, 62.4281
20, 70.5175, 69.0024
21, 66.7079, 71.7885
22, 78.0158, 66.3149
23, 71.8808, 58.2751
24, 71.2350, 56.6997
25, 70.3242, 58.6755
26, 68.2050, 68.4487
27, 75.8651, 76.4459
28, 75.4004, 71.0145
29, 67.7276, 61.3486
30, 65.3379, 55.5806
31, 85.3384, 55.2428
32, 69.5268, 58.0144
33, 67.5580, 63.5809
34, 75.6099, 64.7858
35, 78.6042, 59.9777
36, 69.3814, 56.4783
37, 73.8049, 60.1157
38, 62.6097, 72.9335
39, 81.3428, 78.4213
40, 103.0644, 67.0456
41, 73.1491, 56.3085
42, 71.5757, 56.1354
43, 68.2263, 59.6547
44, 74.7043, 66.1805
45, 73.7209, 65.4146
46, 63.7208, 60.8778
47, 75.0671, 58.3987
48, 68.7996, 56.4941
49, 69.0716, 56.4736
50, 65.5291, 63.4802
51, 82.0883, 66.8516
Test RMSE: 7.2088, MAE: 1.3218
