Epoch, Train Loss, Validation Loss
1, 383.4756, 185.7291
2, 158.4411, 217.7849
3, 147.0866, 174.9228
4, 125.0715, 114.1085
5, 96.2205, 110.8216
6, 94.3253, 78.2737
7, 79.1102, 92.9405
8, 82.1846, 101.4197
9, 80.9425, 64.3811
10, 73.3610, 67.6862
11, 76.8027, 80.4062
12, 74.3469, 56.6409
13, 73.9218, 61.8899
14, 83.9523, 60.4611
15, 77.4158, 54.5271
16, 72.6622, 67.1202
17, 73.0806, 67.9769
18, 75.8300, 53.3825
19, 70.8511, 78.6417
20, 76.7665, 107.8895
21, 75.8059, 55.8575
22, 70.0331, 53.8644
23, 71.2634, 61.7486
24, 71.3530, 58.2234
25, 67.8646, 59.8343
26, 60.5632, 85.9543
27, 76.1516, 59.6797
28, 70.1470, 52.3316
29, 65.5647, 65.8732
30, 62.1604, 51.2404
31, 82.6120, 54.7784
32, 62.4680, 57.3667
33, 60.1805, 58.0240
34, 65.9223, 49.6805
35, 72.7495, 50.5700
36, 58.7433, 64.6006
37, 58.7053, 67.9205
38, 58.9258, 67.2630
39, 71.7539, 45.7567
40, 103.7793, 48.2813
41, 68.8357, 48.8631
42, 57.3083, 67.7748
43, 56.9875, 49.5248
44, 63.2832, 54.0875
45, 60.5259, 51.4349
46, 52.0542, 55.4868
47, 67.8126, 44.2825
48, 67.3979, 53.0711
49, 56.3611, 66.7707
50, 57.8235, 44.4141
51, 66.4458, 45.7309
52, 56.8852, 89.4522
53, 69.1395, 42.9801
54, 58.3411, 71.1138
55, 62.6929, 56.7168
56, 53.3954, 57.4688
57, 55.9162, 58.5082
58, 58.9890, 47.7143
59, 78.5622, 50.6760
60, 64.1846, 44.4805
61, 64.0529, 61.6032
62, 58.1516, 44.8076
63, 54.4845, 60.2799
64, 55.0624, 48.3178
65, 52.7542, 52.6813
66, 49.0705, 76.2939
67, 60.5737, 42.2683
68, 50.9759, 71.7476
69, 50.9820, 40.4867
70, 50.7223, 82.4287
71, 58.3879, 43.0754
72, 55.7912, 39.5971
73, 55.6057, 72.0256
74, 57.4229, 43.1369
75, 47.6767, 61.7607
76, 56.8901, 41.4895
77, 74.0336, 41.7022
78, 56.8094, 75.6699
79, 57.1104, 40.1107
80, 69.8695, 96.1367
81, 72.9814, 43.6589
82, 61.4061, 70.6179
83, 65.1927, 53.4744
84, 62.7002, 44.0721
85, 87.9678, 86.3564
86, 91.4462, 65.9411
87, 75.4050, 63.8769
88, 68.0782, 59.4642
89, 64.5067, 44.7835
90, 55.0808, 73.8188
91, 55.4009, 184.6044
92, 154.4590, 164.4257
Test RMSE: 6.6579, MAE: 1.5175
