Epoch, Train Loss, Validation Loss
1, 168.8113, 198.6551
2, 144.0230, 169.2411
3, 152.7817, 120.7764
4, 110.4217, 102.6331
5, 96.7487, 80.3198
6, 84.2028, 88.0890
7, 79.9969, 115.0597
8, 83.3629, 63.9321
9, 79.3794, 81.8052
10, 78.3531, 65.3352
11, 76.7069, 63.7325
12, 67.6429, 92.8017
13, 80.3010, 54.5581
14, 64.5910, 63.9811
15, 77.1178, 71.4748
16, 68.2083, 57.6863
17, 65.2017, 67.6114
18, 76.9195, 53.9394
19, 68.7760, 57.0648
20, 68.2585, 57.5645
21, 74.2018, 66.3199
22, 67.4883, 53.9348
23, 63.4245, 67.6629
24, 62.0540, 50.0338
25, 69.8882, 66.6094
26, 59.2759, 55.8617
27, 60.1454, 58.4263
28, 56.1476, 49.0896
29, 60.2674, 79.8217
30, 64.9240, 45.5413
31, 59.4929, 89.0915
32, 81.3175, 46.1926
33, 69.2026, 73.9381
34, 77.0382, 101.6606
35, 76.5928, 48.3867
36, 62.7445, 66.9897
37, 68.7792, 59.2944
38, 66.3004, 46.4800
39, 63.4117, 69.5872
40, 67.0621, 60.9701
41, 64.8561, 46.7144
42, 53.0961, 69.6517
43, 57.3191, 50.7197
44, 66.7942, 44.8016
45, 59.1565, 72.6502
46, 58.6657, 43.1907
47, 58.1907, 66.9388
48, 70.4225, 43.0688
49, 72.4821, 80.4401
50, 70.8634, 45.5522
51, 65.3329, 47.4534
52, 65.3922, 51.5682
53, 65.5905, 48.9828
54, 52.8933, 58.8052
55, 78.0212, 47.0149
56, 61.3210, 77.3075
57, 64.2692, 52.8169
58, 56.9698, 43.8272
59, 53.3445, 75.8570
60, 56.5523, 44.1494
61, 53.3607, 55.0825
62, 58.1567, 51.0576
63, 57.1236, 42.7978
64, 46.4027, 64.6925
65, 51.3433, 39.7993
66, 52.2059, 43.3794
67, 54.3631, 72.6830
68, 66.0550, 38.9187
69, 60.3150, 50.0158
70, 65.1409, 41.2118
71, 66.0369, 45.6608
72, 64.8857, 53.6403
73, 54.6317, 41.3423
74, 57.2384, 59.9679
75, 53.0308, 43.2344
76, 51.8194, 60.3012
77, 55.3516, 39.6427
78, 46.7970, 79.9664
79, 60.3480, 40.5886
80, 57.9734, 57.0959
81, 52.7852, 53.2257
82, 54.4259, 47.0626
83, 50.9668, 62.2132
84, 64.3245, 40.3721
85, 55.6821, 50.9409
86, 56.6894, 44.1719
87, 62.1823, 38.9345
88, 53.4273, 66.7851
Test RMSE: 6.6985, MAE: 1.4535
