Epoch, Train Loss, Validation Loss
1, 170.9776, 135.4139
2, 99.2757, 66.3741
3, 82.8224, 62.4012
4, 81.8640, 61.1823
5, 81.4899, 59.1689
6, 81.4087, 62.1021
7, 81.3572, 58.7215
8, 81.0337, 58.6555
9, 80.7006, 63.2970
10, 80.8006, 61.2724
11, 80.3055, 59.6351
12, 80.0764, 60.5665
13, 79.7906, 55.5534
14, 80.2388, 60.4871
15, 78.9994, 59.6005
16, 78.6081, 60.7892
17, 78.0915, 58.2616
18, 77.5529, 61.4774
19, 76.7762, 54.0164
20, 76.5010, 57.9276
21, 75.2697, 60.4680
22, 75.5312, 51.3676
23, 75.7685, 50.5451
24, 74.0406, 59.3329
25, 73.2013, 49.9508
26, 71.9635, 55.2384
27, 71.4423, 50.8774
28, 71.8481, 57.3925
29, 70.9754, 51.6533
30, 70.3753, 46.5017
31, 69.9210, 54.9779
32, 68.9624, 50.1678
33, 68.8694, 50.0632
34, 68.4661, 46.5157
35, 68.3059, 46.6810
36, 67.9283, 54.8363
37, 68.0396, 49.2407
38, 68.0382, 47.1987
39, 68.2987, 43.7210
40, 67.5347, 52.7420
41, 67.4901, 45.8480
42, 68.0808, 45.8501
43, 67.8115, 44.6627
44, 67.6090, 47.9787
45, 67.3229, 47.6762
46, 67.1440, 45.5327
47, 66.8460, 44.9743
48, 67.2626, 46.8352
49, 66.7997, 46.5722
50, 66.4318, 47.5932
51, 66.8097, 48.1291
52, 66.3232, 50.4098
53, 67.2904, 40.1319
54, 66.8150, 42.0706
55, 66.0102, 41.7127
56, 65.9955, 47.4469
57, 65.6316, 47.0151
58, 65.1062, 45.2839
59, 65.3230, 43.8057
60, 65.2926, 48.1994
61, 64.9729, 43.3462
62, 64.7878, 41.1355
63, 64.4849, 48.3641
64, 64.5487, 47.9160
65, 64.0282, 42.0772
66, 64.1639, 51.5351
67, 64.1749, 42.7286
68, 63.6056, 46.4432
69, 63.2515, 41.4691
70, 62.8851, 40.7837
71, 62.4408, 58.4783
72, 64.5266, 42.8930
73, 62.6470, 46.3637
Test RMSE: 7.9757, MAE: 1.2811
