Epoch, Train Loss, Validation Loss
[2]1, 3865.7498, 2669.6885
[2]2, 13514.2017, 3125.8132
[2]3, 5320.4877, 3142.6975
[2]4, 2812.8723, 3151.3495
[2]5, 3051.5823, 2561.9711
[2]6, 13378.4389, 3152.4706
[2]7, 2845.3426, 3017.7567
[2]8, 3228.9362, 3152.3635
[2]9, 3039.6854, 3105.5701
[2]10, 70104.1091, 3152.3751
[2]11, 3047.9991, 3152.3104
[2]12, 3074.3494, 2440.2329
[2]13, 3233.6874, 3152.2086
[2]14, 3066.7451, 3152.1442
[2]15, 2918.2778, 3151.8607
[2]16, 2933.0891, 306867.9453
[2]17, 66254.2527, 3152.0925
[2]18, 3045.9949, 3152.0277
[2]19, 3063.0630, 3151.9163
[2]20, 2936.5740, 3129.0387
[2]21, 2855.2844, 3151.8590
[2]22, 2884.6353, 3151.7980
[2]23, 3069.2166, 3151.7332
[2]24, 3084.5361, 3148.1196
[2]25, 5663.6869, 3151.6342
[2]26, 3058.0236, 3151.5702
[2]27, 3089.9713, 3151.5056
[2]28, 3015.2882, 3151.4423
[2]29, 3117.8258, 3151.3773
[2]30, 3031.6201, 3151.3136
[2]31, 3053.3170, 3151.2494
[2]32, 3109.2961, 3151.1847
