Epoch, Train Loss, Validation Loss
[2]1, 2433.1938, 1379.3732
[2]2, 1400.7101, 608.5436
[2]3, 914.1817, 509.7971
[2]4, 718.7418, 446.1130
[2]5, 864.7284, 386.5041
[2]6, 745.6824, 356.0474
[2]7, 749.6297, 323.5176
[2]8, 441.7201, 313.3940
[2]9, 452.8294, 323.5123
[2]10, 475.5272, 301.2216
[2]11, 428.8674, 318.1123
[2]12, 425.3009, 269.2115
[2]13, 360.3001, 284.0602
[2]14, 260.6056, 276.2941
[2]15, 251.3590, 301.5023
[2]16, 192.5734, 262.8419
[2]17, 214.3236, 289.5100
[2]18, 172.2133, 246.0118
[2]19, 151.0662, 282.1298
[2]20, 115.8335, 238.6888
[2]21, 79.3083, 260.7321
[2]22, 68.7132, 271.3327
[2]23, 82.3454, 263.5712
[2]24, 79.5631, 341.0869
[2]25, 69.5853, 251.3321
[2]26, 65.0116, 239.8148
[2]27, 63.8075, 357.7475
[2]28, 70.0060, 258.9646
[2]29, 46.6437, 342.2363
[2]30, 55.1042, 248.7308
[2]31, 50.6974, 317.3015
[2]32, 44.1011, 255.0760
[2]33, 35.5979, 299.7165
[2]34, 35.6795, 284.8607
[2]35, 33.3514, 266.5462
[2]36, 27.9632, 278.9071
[2]37, 28.0774, 260.9325
[2]38, 23.8132, 253.9987
[2]39, 21.4948, 280.0716
[2]40, 22.8633, 260.2159
