Epoch, Train Loss, Validation Loss
1, 152.6606, 183.5320
2, 134.9227, 122.3974
3, 101.2005, 113.2979
4, 96.0476, 97.5397
5, 80.7174, 71.8146
6, 75.8045, 82.6251
7, 68.1462, 96.7743
8, 74.8607, 79.9101
9, 70.5715, 60.2163
10, 76.0255, 59.9286
11, 71.8648, 82.2922
12, 74.9877, 60.4861
13, 71.1506, 55.9076
14, 67.6543, 68.7504
15, 79.9333, 65.8289
16, 67.3208, 54.0314
17, 73.5150, 58.5127
18, 73.5699, 72.3102
19, 64.8627, 54.2957
20, 60.9155, 54.5575
21, 62.1371, 61.2016
22, 68.7182, 56.4776
23, 73.2849, 53.1779
24, 62.4797, 56.8929
25, 76.4515, 64.7569
26, 57.7378, 53.5304
27, 69.4598, 63.9967
28, 70.2848, 63.2910
29, 68.3935, 53.8806
30, 65.2971, 76.3698
31, 61.5591, 56.1334
32, 66.8905, 52.6123
33, 71.2009, 55.9608
34, 79.2738, 64.0591
35, 68.3176, 53.3389
36, 66.9789, 72.7690
37, 60.9014, 54.6634
38, 58.3848, 60.7326
39, 57.4031, 53.5066
40, 55.7456, 54.6170
41, 66.7930, 56.4481
42, 50.8230, 53.1301
Test RMSE: 7.0126, MAE: 1.3347
