Epoch, Train Loss, Validation Loss
1, 170.0100, 217.7469
2, 176.1844, 168.3142
3, 126.2068, 120.5409
4, 100.2408, 102.3423
5, 84.3968, 82.5103
6, 82.7962, 77.6069
7, 67.5591, 91.9408
8, 73.4867, 90.0827
9, 76.9575, 66.4120
10, 77.1297, 59.5873
11, 69.8055, 75.4388
12, 73.8145, 63.9081
13, 69.2642, 56.1158
14, 68.3428, 62.8433
15, 77.9640, 62.3612
16, 73.0351, 64.4568
17, 71.5754, 57.8182
18, 71.9301, 65.1682
19, 64.4187, 56.8456
20, 59.6138, 55.1223
21, 60.0425, 56.9821
22, 67.8036, 56.0527
23, 72.7278, 52.5719
24, 61.0770, 54.6521
25, 74.9399, 61.2873
26, 58.4245, 54.1728
27, 64.3571, 62.2461
28, 62.2819, 54.1144
29, 62.1533, 59.3598
30, 66.1125, 70.3862
31, 59.6271, 51.7419
32, 69.0624, 55.4739
33, 65.6571, 52.7472
34, 71.0576, 58.3310
35, 61.9095, 53.9023
36, 70.8628, 57.3485
37, 54.9855, 72.7653
38, 65.9494, 54.7754
39, 57.8807, 52.7858
40, 56.9526, 62.2491
41, 66.2495, 52.4852
Test RMSE: 7.0644, MAE: 1.6902
